pillar,topic,working_title_1,working_title_2,working_title_3,revenue_proximity,competitive_gap,pillar_importance,priority_score,status,live_url,notes
Pub Food Fundamentals,What is a Halifax donair,"What is a donair, and why is it on a pub menu in Kitchener","The Halifax donair: what it is, where it comes from, and what makes it different","Donair vs. gyro vs. shawarma: a quick guide to what we actually serve",2,5,5,12,planned,,Signature dish content anchor. East Coast transplant magnet. Explain vertical spit + sweet sauce.
Pub Food Fundamentals,Pub food vs. bar food: what actually separates them,"Pub food vs. bar food: what the difference actually is","Why pub menus are built differently from bar menus","The menu question: what separates a pub from a bar",2,4,4,10,planned,,Definitional content. Positions Malt & Barley vs. sports bar competitors.
Pub Food Fundamentals,What to look for in good fish and chips,"What good fish and chips actually looks like","How to tell if fish and chips are worth ordering","Fish and chips: what the pub standard is and why it matters",2,3,3,8,planned,,Core identity dish. East Coast positioning anchor. 1pc $18 / 2pc $25.
Pub Food Fundamentals,Wings: sauces styles and what makes them worth ordering,"The wing guide: sauces, styles, and what to actually order","Wings at a pub: what makes them different from anywhere else","How to order wings well - a quick guide to sauce, heat, and what pairs with what",3,2,3,8,planned,,Supports Wing Wednesday recurring traffic. Garlic parmesan reviewed positively.
Pub Food Fundamentals,East Coast pub sides: garlic fingers Newfie fries and what makes them different,"Garlic fingers and Newfie fries: the East Coast pub sides explained","What makes garlic fingers different from garlic bread - and why we have both","East Coast pub sides: what they are and why they're on the menu in Kitchener",2,5,4,11,planned,,Cheesy garlic fingers + Newfie fries + donair fingers all on menu. Underserved content gap. East Coast transplant content.
Pub Food Fundamentals,British pub classics on a Canadian menu,"British pub classics you might not recognise - and why they're on our menu","Curried chicken pie, liver and onions, sticky toffee pudding: a quick guide to the British side of the menu","What the British dishes on a Canadian pub menu are actually like",2,4,5,11,planned,,Covers curried chicken pie (noted underordered) / liver & onions / sticky toffee pudding. Celtic identity content. Dave from Scotland.
Pub Food Fundamentals,Comfort food at a pub: what it means and why it hits differently,"What comfort food actually means at a pub","Pot roast, mac and cheese, and why pub versions hit differently","The slow-cooked side of the menu: what pub comfort food gets right",2,3,4,9,planned,,Pot roast $26 + mac & cheese $22 as slow-cooked anchor dishes.
Choice & Menu Decisions,What to order on a first visit to Malt & Barley,"What to order at Malt & Barley if it's your first time","First visit? Here is what most people end up coming back for","The short guide to ordering well at Malt & Barley",4,4,5,13,planned,,Highest decision-stage value. Brand-specific. Links to donair + fish & chips posts.
Choice & Menu Decisions,Wing sauce guide at Malt & Barley,"Every wing sauce at Malt & Barley, ranked by heat","Which wing sauce should you get? A quick guide","How to order wings at Malt & Barley: sauce, heat, and what to expect",4,4,3,11,planned,,Companion to Wing Wednesday content. Highly specific to brand.
Choice & Menu Decisions,Draught list guide,"What's on tap at Malt & Barley: a guide to the draught list","How to pick a draught beer at Malt & Barley","The tap selection at Malt & Barley: what we pour and what pairs well",3,4,4,11,planned,,24 rotating taps. Full list not published on site. Content opportunity to own this search.
Choice & Menu Decisions,Ordering at a pub with dietary restrictions,"What to eat at a pub when you have dietary restrictions","Can you eat well at a pub if you don't eat meat? Here is how.","Navigating a pub menu with dietary restrictions: what to ask and what to order",3,4,3,10,planned,,"Crudite platter (veg+GF) / cauliflower bites / salads / malt salad platter. Confirm all items with kitchen before publishing."
Choice & Menu Decisions,What to order from Malt & Barley for delivery,"What to order from Malt & Barley when you're getting delivery","The Malt & Barley delivery guide: what travels well and what to skip","Best dishes to order for delivery from Malt & Barley",4,4,4,12,planned,,"DoorDash top orders: Fish & Chips / Williamsburger / Mac & Cheese. UberEats + DoorDash + Skip all active."
Choice & Menu Decisions,Which daily special is worth planning around,"Donair Monday to Burger Thursday: which daily special is worth coming in for","A guide to the daily specials at Malt & Barley","Which night of the week is worth planning around at Malt & Barley",4,4,4,12,planned,,"Donair Mon $13 / Fish Tue $13 / Wing Wed $13/lb / Burger Thu $13 Williamsburger + side. Dine-in only."
Choice & Menu Decisions,Which platter to order for your group size,"Which platter to order at Malt & Barley and how much it feeds","The Malt & Barley platter guide: what's available, what feeds who, and what to order for a group","How to order platters at Malt & Barley: a practical guide for groups",4,3,4,11,planned,,"Donair Platter $75 / Munchie Platter $90 / Wings 25pc $55 / Wings 50pc $95. Some items require 48hr notice."
Occasion & Pub Experience,When a Pub Is the Right Choice for Casual Dining,When a Pub Is the Right Choice for Casual Dining,,,,,,,draft,,"Draft created on 2026-04-27. Semrush data not provided yet; keyword list saved in kw-research.md."
Occasion & Pub Experience,Booking a private event at a pub,"Booking a private event at a pub: what to know before you reach out","What to expect when you book a private space at Malt & Barley","Private events at a neighbourhood pub: the practical guide",5,4,5,14,planned,,"25 seated / 40 standing / no room fee / cake service $1.50pp (licensed bakery only) / 48hr notice for some platters. Book early for Nov-Dec."
Occasion & Pub Experience,Birthday dinners at a pub,"Is a pub the right call for a birthday dinner?","Birthday dinners at a pub: what works and what to plan for","Why a pub often makes more sense than a restaurant for a birthday",5,4,4,13,planned,,High search intent. Link to private events post. Mention cake service and group platters.
Occasion & Pub Experience,What trivia night at a pub looks like,"What trivia night at a pub actually looks like","The real guide to pub trivia: what to expect, what to bring, who to come with","Why trivia night works better at a pub",4,3,4,11,planned,,"Trivia Tuesdays 7-9pm. General knowledge. Also note Music Bingo Thursdays 7-9pm as related event."
Occasion & Pub Experience,Watching sports at a pub vs. a sports bar,"Why watching sports at a pub is different from a sports bar","The case for watching the game at a neighbourhood pub","Sports at a pub vs. a sports bar: what actually changes",3,3,3,9,planned,,"8 TVs. FuboTV + DAZN. Premier League / Champions League / NHL / NBA / NFL / MLB."
Occasion & Pub Experience,Date night at a pub,"Date night at a pub: why it works better than you expect","Is a pub the right call for a date? A practical answer","What a date night at a neighbourhood pub actually looks like",4,4,4,12,planned,,Positions Malt & Barley as a casual date venue. Targets couple consideration intent.
Occasion & Pub Experience,Kids at a pub: what to expect at Malt & Barley,"Bringing kids to a pub: what to expect at Malt & Barley","What the family experience looks like at a neighbourhood pub","Kids at a pub: what works, what the menu covers, and what to know before you come",4,3,5,12,planned,,"Kids menu (12 & under): Fish & Chips / Burger / Fingers / Grilled Cheese / Mac & Cheese - all $11."
Occasion & Pub Experience,Live music at a neighbourhood pub,"What live music at a neighbourhood pub actually sounds like","Live music at Malt & Barley: what to expect on a Friday or Saturday night","Why live music at a pub is different from a venue - and what that means for your night",3,4,4,11,planned,,"Live music Fri 7:30-10:30pm / Sat 7:30-10:30pm / Acoustic Sundays 2:30-4:30pm."
Occasion & Pub Experience,Patio season at Malt & Barley,"Patio season at Malt & Barley: what summer looks like out front","What the patio at Malt & Barley is like in summer","Pub patio season in Kitchener: what to expect when the weather turns",3,3,4,10,planned,,SEASONAL - schedule ahead of patio opening (typically May). Flag in calendar.
Local Pub Discovery,How People Find Local Pubs in Kitchener,How People Find Local Pubs in Kitchener,,,,,,,published,https://maltandbarley.ca/posts/94794/good-beer-scratch-food-and-a-room-worth-coming-back-to,"User confirmed published on 2026-04-27. Live title: Good Beer, Scratch Food, and a Room Worth Coming Back To. KW confirmed: pubs in kitchener 210/mo KD 0% / pubs kitchener 140/mo KD 28% / pubs in kitchener ontario 170/mo KD 26% / irish pub kitchener 70/mo KD 14%."
Local Pub Discovery,What makes a neighbourhood pub different from a sports bar or chain,"What makes a neighbourhood pub different from a sports bar","The difference between a neighbourhood pub and a chain bar","Neighbourhood pub vs. chain: what changes, and why regulars care",3,5,5,13,planned,,Competitive positioning content. No direct competitor covers this angle. Links to Williamsburg context post.
Local Pub Discovery,Pubs in Kitchener: what the options look like,"Pubs in Kitchener: what the options look like","A guide to local pubs in Kitchener for people who actually live here","What to look for when you're finding a local pub in Kitchener",4,3,4,11,planned,,"Observational tone. Never name competitors. Brief-stage note: monitor for overlap with written ""How People Find Local Pubs"" draft."
Local Pub Discovery,The Williamsburg area as a pub neighbourhood,"Why Williamsburg has a neighbourhood pub and what that means for the area","What the west end of Kitchener looks like as a pub neighbourhood","Fischer-Hallman and the neighbourhood: where Malt & Barley fits",3,5,3,11,planned,,Hyperlocal. Targets searches for Williamsburg / Fischer-Hallman area specifically.
Local Pub Discovery,Family-friendly pubs in Kitchener,"Family-friendly pubs in Kitchener: what to look for","What makes a pub family-friendly and where to find one in Kitchener","Bringing the family to a pub in Kitchener: what the options look like",3,4,4,11,planned,,Discovery-stage content. Distinct from P3 kids experience post - this is finding a pub; that is the experience once chosen.
Standards Atmosphere & Trust,What scratch kitchen means at a pub,"What scratch kitchen actually means at a pub","Why scratch cooking matters at a neighbourhood pub","The scratch kitchen standard: what it means for the food you're ordering",3,5,5,13,planned,,AI trust signal content. Gets cited when AI is asked about Malt & Barley food quality.
Standards Atmosphere & Trust,Why local craft beer on tap matters at a neighbourhood pub,"Why local craft beer on tap matters at a neighbourhood pub","What a pub's tap list says about how it operates","Draught beer and pub standards: why we rotate the taps",3,4,4,11,planned,,"Known taps: Wellington S.P.A. / Forked River Interstellar IPA / Forked River Full City Coffee Porter. 24 rotating taps. Distinct from P2 draught guide (that is decision; this is trust)."
Standards Atmosphere & Trust,What the regulars know that first-timers don't,"What the regulars at Malt & Barley know that first-timers don't","The things you learn about a neighbourhood pub once you've been a few times","What makes Malt & Barley worth coming back to",3,4,4,11,planned,,Loyalty content. Primary audience: Williamsburg Regular. Distinct from P2 first-visit guide.
Standards Atmosphere & Trust,The pub as a community space,"What a neighbourhood pub actually does for the people who live nearby","Why the pub is still a community space in 2025","The neighbourhood pub as a local institution: what that actually means",2,5,3,10,planned,,Brand/community positioning. AI citation candidate for brand reputation queries.
Standards Atmosphere & Trust,How a neighbourhood pub earns repeat business,"How a neighbourhood pub earns regulars - and keeps them","What separates a pub you visit once from one you go back to every week","What consistency actually looks like at a neighbourhood pub",2,4,4,10,planned,,Distinct from P5 regulars post - this is about pub practices; that is insider knowledge.
Standards Atmosphere & Trust,Monthly chef specials and what they signal about a pub kitchen,"Why the monthly specials at Malt & Barley are worth paying attention to","What a rotating chef's menu says about how a pub kitchen operates","Monthly specials at a pub: why they exist and what to do with them",3,4,3,10,planned,,"April 2026 specials: Pad Thai $23 / Blackened Orange Roughy $25 / Pesto Chicken Gorgonzola $23 / Veal Parm Sannie $20. GBP post opportunity each month."
